repo,issue_number,pr_number,issue_title,pr_title,drift_score,drift_quartile,phase3_drift_bucket,semantic_high_drift_probability,semantic_predicted_bucket,issue_url,pr_url
python/cpython,149122,149138,Segfault with async generator expressions,gh-149122: Fix segfault in compiler when certain builtin functions are passed a coroutine as arg,-1.8502357140458476,Q1 lowest drift,low_drift,0.3623474927819157,potential_low_drift,https://github.com/python/cpython/issues/149122,https://github.com/python/cpython/pull/149138
python/cpython,144538,144556,Update bundled pip to 26.0.1,gh-144538: Upgrade bundled pip to 26.0.1,-1.6530559432153735,Q1 lowest drift,low_drift,0.42800791879732253,potential_low_drift,https://github.com/python/cpython/issues/144538,https://github.com/python/cpython/pull/144556
python/cpython,135528,135820,Support more second-level domain names in http.cookiejar,gh-135528: Support more second-level domain names in http.cookiejar,0.0680624941012754,Q3,middle,0.6108239447078124,potential_high_drift,https://github.com/python/cpython/issues/135528,https://github.com/python/cpython/pull/135820
python/cpython,133346,133347,Theming support for _colorize,gh-133346: Make theming support in _colorize extensible,0.2986651706243911,Q3,middle,0.6555187344542541,potential_high_drift,https://github.com/python/cpython/issues/133346,https://github.com/python/cpython/pull/133347
python/cpython,140287,140288,The asyncio REPL interactive daemon thread doesn't handle `PYTHONSTARTUP` exceptions,gh-140287: Handle `PYTHONSTARTUP` script exceptions in the asyncio REPL,0.9584078120751452,Q4 highest drift,high_drift,0.5705962873937114,potential_high_drift,https://github.com/python/cpython/issues/140287,https://github.com/python/cpython/pull/140288
python/cpython,148829,148831,Implement PEP 661 Sentinel Values,gh-148829: Implement PEP 661,2.270165809689351,Q4 highest drift,high_drift,0.6638984228225392,potential_high_drift,https://github.com/python/cpython/issues/148829,https://github.com/python/cpython/pull/148831
python/cpython,145278,145279,Freeze modules used during startup,GH-145278: freeze encodings (partially) and linecache,0.59607530857696,Q3,middle,0.4785664394877586,potential_low_drift,https://github.com/python/cpython/issues/145278,https://github.com/python/cpython/pull/145279
python/cpython,149119,149120,`sentinel`: subclassing restriction not documented,gh-149119: docs: mention that sentinel does not support subclassing,-0.0089950130119982,Q3,middle,0.6469233442353584,potential_high_drift,https://github.com/python/cpython/issues/149119,https://github.com/python/cpython/pull/149120
python/cpython,126703,126865,"Use freelist for range object, iterator objects and other often used objects",gh-126868: Add freelist for compact int objects,2.2082475869032603,Q4 highest drift,high_drift,0.6427806047932539,potential_high_drift,https://github.com/python/cpython/issues/126703,https://github.com/python/cpython/pull/126865
python/cpython,107956,108033,Install a static installation description file as part of the Python installation,Improve the feature-proposal issue form,-0.8931600593827398,Q2,middle,0.578035529747803,potential_high_drift,https://github.com/python/cpython/issues/107956,https://github.com/python/cpython/pull/108033
python/cpython,148680,148682,annotationlib - evaluating forward references in STRING format can 'leak' internal names,gh-148680: Replace internal names with type_reprs of objects in string representations of ForwardRef,-0.3826638796858697,Q2,middle,0.603476351453875,potential_high_drift,https://github.com/python/cpython/issues/148680,https://github.com/python/cpython/pull/148682
python/cpython,137969,138075,annotationlib: `ref.evaluate(format=Format.FORWARDREF)` returns a ForwardRef with a copied `__globals__` that no longer updates,gh-137969: Fix evaluation of `ref.evaluate(format=Format.FORWARDREF)` objects,0.7784280939109973,Q4 highest drift,high_drift,0.6103181348013706,potential_high_drift,https://github.com/python/cpython/issues/137969,https://github.com/python/cpython/pull/138075
python/cpython,138764,138803,annotationlib - `call_annotate_function` should check `VALUE_WITH_FAKE_GLOBALS` is implemented before calling in a namespace with empty fake globals,gh-138764: annotationlib - Make `call_annotate_function` fallback to using `VALUE` annotations if both the requested format and `VALUE_WITH_FAKE_GLOBALS` are not implemented,0.6740412627876513,Q3,middle,0.5411405369027007,potential_high_drift,https://github.com/python/cpython/issues/138764,https://github.com/python/cpython/pull/138803
